timestamp,event_slug,market_slug,away_team,home_team,outcome,player_name,prop_type,line,true_prob,polymarket_ask,expected_payout_per_1,edge_pct,token_id,executed,error
2026-01-18T04:24:03.416799,nba-bkn-chi-2026-01-18,nba-bkn-chi-2026-01-18-total-220pt5,Brooklyn Nets,Chicago Bulls,Over,,,220.5,0.497774,0.490000,1.015866,0.78,16541420781028943386961318029846267055873626138290922729691910874844046953463,YES,
2026-01-18T05:55:01.083929,nba-nop-hou-2026-01-18,nba-nop-hou-2026-01-18-total-228pt5,New Orleans Pelicans,Houston Rockets,Under,,,228.5,0.495548,0.490000,1.011322,0.55,79229155312106448999969829876898285027045722791560406957306322887283394968662,YES,
2026-01-18T07:38:16.024913,nba-tor-lal-2026-01-18,nba-tor-lal-2026-01-18-total-225pt5,Toronto Raptors,Los Angeles Lakers,Over,,,225.5,0.497742,0.470000,1.059027,2.77,66908441459574216547820162547836679126213727198006993274398418202020491448080,YES,
2026-01-18T07:46:38.856207,cbb-flatl-templ-2026-01-18,cbb-flatl-templ-2026-01-18-total-151pt5,Florida Atlantic,Temple,Under,,,151.5,0.500000,0.490000,1.020408,1.00,30664617593589398986933601688891579252012458220254898900822447759152313592618,YES,
2026-01-18T08:22:57.424976,nba-bkn-chi-2026-01-18,nba-bkn-chi-2026-01-18-total-221pt5,Brooklyn Nets,Chicago Bulls,Under,,,221.5,0.490834,0.470000,1.044328,2.08,22942909832111067557722354969505975627433447660631867595333921045075948591641,YES,
2026-01-18T08:37:47.330270,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18-total-157pt5,Tulsa,UAB,Over,,,157.5,0.500000,0.490000,1.020408,1.00,48376902485087803768722142584624830476455958928072382741701163983718927998274,YES,
2026-01-18T08:43:09.817632,nba-nop-hou-2026-01-18,nba-nop-hou-2026-01-18-total-229pt5,New Orleans Pelicans,Houston Rockets,Under,,,229.5,0.488538,0.470000,1.039442,1.85,63486141905000666093719208187104540408778692465696720406662636195739697522642,YES,
2026-01-18T08:50:50.942401,nba-tor-lal-2026-01-18,nba-tor-lal-2026-01-18-total-224pt5,Toronto Raptors,Los Angeles Lakers,Over,,,224.5,0.486239,0.470000,1.034550,1.62,15280260480496062611351775148129515661940546754923981438470440548203326637378,YES,
2026-01-18T09:13:26.117711,cbb-charlt-ecar-2026-01-18,cbb-charlt-ecar-2026-01-18-total-143pt5,Charlotte U,East Carolina,Over,,,143.5,0.500000,0.460000,1.086957,4.00,99766551476201061071541307788289639578702901336131049313392817741878261135340,YES,
2026-01-18T09:20:48.134304,cbb-ntx-tulane-2026-01-18,cbb-ntx-tulane-2026-01-18-total-134pt5,North Texas,Tulane,Under,,,134.5,0.495670,0.490000,1.011572,0.57,105342654181810887538457557397265755979784321127241447277838375459156096655103,YES,
2026-01-18T09:27:40.869565,nba-nop-hou-2026-01-18,nba-nop-hou-2026-01-18-total-230pt5,New Orleans Pelicans,Houston Rockets,Under,,,230.5,0.490834,0.480000,1.022571,1.08,88422392255884018599280064654157930787644925098996830538283203061672496045401,YES,
2026-01-18T09:39:05.828839,cbb-washst-sf-2026-01-18,cbb-washst-sf-2026-01-18-total-143pt5,Washington State,San Francisco,Under,,,143.5,0.483839,0.470000,1.029445,1.38,11472977745301928423221541515292543490647173659510252797570080095594518929016,YES,
2026-01-18T11:14:46.402328,cbb-pennst-mary-2026-01-18,cbb-pennst-mary-2026-01-18-total-147pt5,Penn State,Maryland,Over,,,147.5,0.491336,0.470000,1.045396,2.13,42162801626099446484128210426922654947320055732316583315602386719615357081358,YES,
2026-01-18T11:45:24.641263,cbb-arzst-hou-2026-01-18,cbb-arzst-hou-2026-01-18-total-143pt5,Arizona State,Houston,Over,,,143.5,0.510834,0.500000,1.021668,1.08,35464411021428931564733893279564759542946037897060901097078496046559000421309,YES,
2026-01-18T12:09:38.089054,nba-orl-mem-2026-01-18,nba-orl-mem-2026-01-18-total-229pt5,Orlando Magic,Memphis Grizzlies,Over,,,229.5,0.504580,0.490000,1.029756,1.46,75370081229215957066168290097974330066140242361395706321889810686644655210702,YES,
2026-01-19T21:04:01.831575,nhl-nyr-ana-2026-01-19,nhl-nyr-ana-2026-01-19-total-6pt5,New York Rangers,Anaheim Ducks,Under,,,6.5,0.466622,0.460000,1.014395,0.66,40387064245291260856469027244520359097798220174696861200800334294681178246846,YES,
