value_bet,edge,side,event_name,timestamp,team,point,token_id,true_prob,polymarket_best_ask,expected_payout_per_1
totals,0.028133,BUY,Elon @ Northeastern,2026-01-15T21:52:27.603242+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.480000,1.028133
totals,0.028133,BUY,Elon @ Northeastern,2026-01-15T21:55:12.291747+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.480000,1.028133
totals,0.050008,BUY,Elon @ Northeastern,2026-01-15T22:36:39.130046+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.470000,1.050008
totals,0.147684,BUY,Elon @ Northeastern,2026-01-15T22:39:25.385335+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.430000,1.147684
totals,0.121600,BUY,Elon @ Northeastern,2026-01-15T22:42:11.139168+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.440000,1.121600
totals,0.121600,BUY,Elon @ Northeastern,2026-01-15T22:44:56.712028+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.440000,1.121600
totals,0.121600,BUY,Elon @ Northeastern,2026-01-15T22:47:52.542962+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.440000,1.121600
totals,0.121600,BUY,Elon @ Northeastern,2026-01-15T22:50:38.774450+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.440000,1.121600
totals,0.121600,BUY,Elon @ Northeastern,2026-01-15T22:53:24.831933+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.440000,1.121600
totals,0.147684,BUY,Elon @ Northeastern,2026-01-15T22:56:10.736009+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.430000,1.147684
totals,0.147684,BUY,Elon @ Northeastern,2026-01-15T22:58:55.129039+00:00,Over,160.5,18908364773931330181477930080071967254588995385454926250896118795763150498553,0.493504,0.430000,1.147684
