value_bet,edge,side,event_name,timestamp,team,point,token_id,true_prob,polymarket_best_ask,expected_payout_per_1
moneyline,0.011605,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T06:27:03.633278+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.364178,0.360000,1.011605
moneyline,0.011605,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T06:28:52.337617+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.364178,0.360000,1.011605
moneyline,0.011605,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T06:30:40.671900+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.364178,0.360000,1.011605
moneyline,0.011605,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T06:32:28.709524+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.364178,0.360000,1.011605
moneyline,0.011605,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T06:34:16.215870+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.364178,0.360000,1.011605
moneyline,0.011605,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T06:36:07.798495+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.364178,0.360000,1.011605
moneyline,0.011605,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T06:37:59.179885+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.364178,0.360000,1.011605
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:23:28.089670+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:25:15.815950+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:27:03.787398+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:28:52.485506+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:30:40.592251+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:32:27.751505+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
