value_bet,edge,side,event_name,timestamp,team,point,token_id,true_prob,polymarket_best_ask,expected_payout_per_1
spread,0.013943,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-15T23:40:54.332803+00:00,Thunder,-4.5,11037480799979160647521065443631942401281454890477608138907282412317691742994,0.506972,0.500000,1.013943
spread,0.013943,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-15T23:43:53.659321+00:00,Thunder,-4.5,11037480799979160647521065443631942401281454890477608138907282412317691742994,0.506972,0.500000,1.013943
spread,0.013943,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-15T23:49:51.196022+00:00,Thunder,-4.5,11037480799979160647521065443631942401281454890477608138907282412317691742994,0.506972,0.500000,1.013943
spread,0.015667,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T00:43:30.510585+00:00,Thunder,-4.5,11037480799979160647521065443631942401281454890477608138907282412317691742994,0.497677,0.490000,1.015667
spread,0.048997,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T01:13:17.194153+00:00,Rockets,4.5,15687405896209625522711680125647586959384870950075027393841981874875082332658,0.493028,0.470000,1.048997
spread,0.027143,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T01:16:34.629038+00:00,Rockets,4.5,15687405896209625522711680125647586959384870950075027393841981874875082332658,0.493028,0.480000,1.027143
spread,0.146578,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T01:19:57.234133+00:00,Rockets,4.5,15687405896209625522711680125647586959384870950075027393841981874875082332658,0.493028,0.430000,1.146578
spread,0.146578,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T01:23:19.598366+00:00,Rockets,4.5,15687405896209625522711680125647586959384870950075027393841981874875082332658,0.493028,0.430000,1.146578
spread,0.146578,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T01:33:14.952549+00:00,Rockets,4.5,15687405896209625522711680125647586959384870950075027393841981874875082332658,0.493028,0.430000,1.146578
spread,0.095619,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T01:36:28.940255+00:00,Rockets,4.5,15687405896209625522711680125647586959384870950075027393841981874875082332658,0.493028,0.450000,1.095619
spread,0.146578,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T01:43:06.344165+00:00,Rockets,4.5,15687405896209625522711680125647586959384870950075027393841981874875082332658,0.493028,0.430000,1.146578
spread,0.232571,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T01:46:26.844016+00:00,Rockets,4.5,15687405896209625522711680125647586959384870950075027393841981874875082332658,0.493028,0.400000,1.232571
spread,0.202508,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T01:49:39.775154+00:00,Rockets,4.5,15687405896209625522711680125647586959384870950075027393841981874875082332658,0.493028,0.410000,1.202508
spread,0.034636,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T02:00:07.194866+00:00,Thunder,-4.5,11037480799979160647521065443631942401281454890477608138907282412317691742994,0.506972,0.490000,1.034636
spread,0.056191,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T02:03:27.992625+00:00,Thunder,-4.5,11037480799979160647521065443631942401281454890477608138907282412317691742994,0.506972,0.480000,1.056191
spread,0.095619,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T02:13:14.943417+00:00,Rockets,4.5,15687405896209625522711680125647586959384870950075027393841981874875082332658,0.493028,0.450000,1.095619
spread,0.013943,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T02:22:54.500044+00:00,Thunder,-4.5,11037480799979160647521065443631942401281454890477608138907282412317691742994,0.506972,0.500000,1.013943
spread,0.056191,BUY,Oklahoma City Thunder @ Houston Rockets,2026-01-16T02:26:09.528188+00:00,Thunder,-4.5,11037480799979160647521065443631942401281454890477608138907282412317691742994,0.506972,0.480000,1.056191
