event_name,outcome,date,event_slug,market_slug,polymarket_odds,sportsbook_prob,ev_percent
Penn State @ Maryland,Maryland Terrapins -2.5,2026-01-18,cbb-pennst-mary-2026-01-18,cbb-pennst-mary-2026-01-18-spread-home-2pt5,0.490000,0.496775,1.38
Brooklyn Nets @ Chicago Bulls,Over 220.5,2026-01-18,nba-bkn-chi-2026-01-18,nba-bkn-chi-2026-01-18-total-220pt5,0.490000,0.497774,1.59
Charlotte Hornets @ Denver Nuggets,Hornets,2026-01-18,nba-cha-den-2026-01-18,nba-cha-den-2026-01-18,0.450000,0.464516,3.23
New Orleans Pelicans @ Houston Rockets,Under 228.5,2026-01-18,nba-nop-hou-2026-01-18,nba-nop-hou-2026-01-18-total-228pt5,0.490000,0.495548,1.13
Toronto Raptors @ Los Angeles Lakers,Lakers,2026-01-18,nba-tor-lal-2026-01-18,nba-tor-lal-2026-01-18,0.490000,0.502290,2.51
Toronto Raptors @ Los Angeles Lakers,Lakers -1.5,2026-01-18,nba-tor-lal-2026-01-18,nba-tor-lal-2026-01-18-spread-home-1pt5,0.470000,0.483948,2.97
New Orleans Pelicans @ Houston Rockets,Pelicans +13.5,2026-01-18,nba-nop-hou-2026-01-18,nba-nop-hou-2026-01-18-spread-home-13pt5,0.500000,0.509166,1.83
Brooklyn Nets @ Chicago Bulls,Bulls,2026-01-18,nba-bkn-chi-2026-01-18,nba-bkn-chi-2026-01-18,0.690000,0.697761,1.12
Toronto Raptors @ Los Angeles Lakers,Over 225.5,2026-01-18,nba-tor-lal-2026-01-18,nba-tor-lal-2026-01-18-total-225pt5,0.470000,0.497742,5.90
Florida Atlantic @ Temple,Under 151.5,2026-01-18,cbb-flatl-templ-2026-01-18,cbb-flatl-templ-2026-01-18-total-151pt5,0.490000,0.500000,2.04
North Texas @ Tulane,Tulane Green Wave -1.5,2026-01-18,cbb-ntx-tulane-2026-01-18,cbb-ntx-tulane-2026-01-18-spread-home-1pt5,0.470000,0.492472,4.78
Washington State @ San Francisco,Washington State Cougars,2026-01-18,cbb-washst-sf-2026-01-18,cbb-washst-sf-2026-01-18,0.310000,0.318780,2.83
Florida Atlantic @ Temple,Temple Owls,2026-01-18,cbb-flatl-templ-2026-01-18,cbb-flatl-templ-2026-01-18,0.440000,0.445513,1.25
Wichita State @ South Florida,Wichita State Shockers,2026-01-18,cbb-wichst-sfl-2026-01-18,cbb-wichst-sfl-2026-01-18,0.270000,0.287554,6.50
Brooklyn Nets @ Chicago Bulls,Under 221.5,2026-01-18,nba-bkn-chi-2026-01-18,nba-bkn-chi-2026-01-18-total-221pt5,0.470000,0.490834,4.43
Wichita State @ South Florida,Wichita State Shockers +6.5,2026-01-18,cbb-wichst-sfl-2026-01-18,cbb-wichst-sfl-2026-01-18-spread-home-6pt5,0.480000,0.500000,4.17
Tulsa @ UAB,Over 157.5,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18-total-157pt5,0.490000,0.500000,2.04
New Orleans Pelicans @ Houston Rockets,Under 229.5,2026-01-18,nba-nop-hou-2026-01-18,nba-nop-hou-2026-01-18-total-229pt5,0.470000,0.488538,3.94
Toronto Raptors @ Los Angeles Lakers,Over 224.5,2026-01-18,nba-tor-lal-2026-01-18,nba-tor-lal-2026-01-18-total-224pt5,0.470000,0.486239,3.46
North Texas @ Tulane,North Texas Mean Green,2026-01-18,cbb-ntx-tulane-2026-01-18,cbb-ntx-tulane-2026-01-18,0.460000,0.476730,3.64
Arizona State @ Houston,Arizona State Sun Devils +16.5,2026-01-18,cbb-arzst-hou-2026-01-18,cbb-arzst-hou-2026-01-18-spread-home-16pt5,0.490000,0.513376,4.77
Charlotte U @ East Carolina,Over 143.5,2026-01-18,cbb-charlt-ecar-2026-01-18,cbb-charlt-ecar-2026-01-18-total-143pt5,0.460000,0.500000,8.70
Penn State @ Maryland,Penn State Nittany Lions,2026-01-18,cbb-pennst-mary-2026-01-18,cbb-pennst-mary-2026-01-18,0.430000,0.437956,1.85
North Texas @ Tulane,Under 134.5,2026-01-18,cbb-ntx-tulane-2026-01-18,cbb-ntx-tulane-2026-01-18-total-134pt5,0.490000,0.495670,1.16
Portland Trail Blazers @ Sacramento Kings,Trail Blazers,2026-01-18,nba-por-sac-2026-01-18,nba-por-sac-2026-01-18,0.430000,0.439499,2.21
New Orleans Pelicans @ Houston Rockets,Under 230.5,2026-01-18,nba-nop-hou-2026-01-18,nba-nop-hou-2026-01-18-total-230pt5,0.480000,0.490834,2.26
Washington State @ San Francisco,Under 143.5,2026-01-18,cbb-washst-sf-2026-01-18,cbb-washst-sf-2026-01-18-total-143pt5,0.470000,0.483839,2.94
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Orlando Magic @ Memphis Grizzlies,Grizzlies,2026-01-18,nba-orl-mem-2026-01-18,nba-orl-mem-2026-01-18,0.400000,0.406699,1.67
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Orlando Magic @ Memphis Grizzlies,Grizzlies,2026-01-18,nba-orl-mem-2026-01-18,nba-orl-mem-2026-01-18,0.400000,0.406699,1.67
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Orlando Magic @ Memphis Grizzlies,Grizzlies,2026-01-18,nba-orl-mem-2026-01-18,nba-orl-mem-2026-01-18,0.400000,0.406699,1.67
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Orlando Magic @ Memphis Grizzlies,Grizzlies,2026-01-18,nba-orl-mem-2026-01-18,nba-orl-mem-2026-01-18,0.400000,0.406699,1.67
Tulsa @ UAB,Tulsa Golden Hurricane,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.450000,0.456078,1.35
Orlando Magic @ Memphis Grizzlies,Grizzlies,2026-01-18,nba-orl-mem-2026-01-18,nba-orl-mem-2026-01-18,0.400000,0.406699,1.67
Orlando Magic @ Memphis Grizzlies,Magic,2026-01-18,nba-orl-mem-2026-01-18,nba-orl-mem-2026-01-18,0.600000,0.606942,1.16
Penn State @ Maryland,Over 147.5,2026-01-18,cbb-pennst-mary-2026-01-18,cbb-pennst-mary-2026-01-18-total-147pt5,0.470000,0.491336,4.54
Arizona State @ Houston,Over 143.5,2026-01-18,cbb-arzst-hou-2026-01-18,cbb-arzst-hou-2026-01-18-total-143pt5,0.500000,0.510834,2.17
Brooklyn Nets @ Chicago Bulls,Bulls -6.5,2026-01-18,nba-bkn-chi-2026-01-18,nba-bkn-chi-2026-01-18-spread-home-6pt5,0.490000,0.497677,1.57
Arizona State @ Houston,Houston Cougars -17.5,2026-01-18,cbb-arzst-hou-2026-01-18,cbb-arzst-hou-2026-01-18-spread-home-17pt5,0.510000,0.521069,2.17
Orlando Magic @ Memphis Grizzlies,Over 229.5,2026-01-18,nba-orl-mem-2026-01-18,nba-orl-mem-2026-01-18-total-229pt5,0.490000,0.504580,2.98
Charlotte U @ East Carolina,Charlotte 49ers,2026-01-18,cbb-charlt-ecar-2026-01-18,cbb-charlt-ecar-2026-01-18,0.520000,0.536961,3.26
Charlotte U @ East Carolina,Charlotte 49ers -1.5,2026-01-18,cbb-charlt-ecar-2026-01-18,cbb-charlt-ecar-2026-01-18-spread-away-1pt5,0.470000,0.509955,8.50
Tulsa @ UAB,UAB Blazers,2026-01-18,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,0.530000,0.543922,2.63
